ACN,DATE,LOCAL TIME OF DAY,PLACE.LOCALE REFERENCE,STATE REFERENCE,AIRCRAFT 1 MAKE MODEL,AIRCRAFT 1 OPERATOR,FLIGHT PHASE,ALTITUDE.AGL.SINGLE VALUE,NARRATIVE,SYNOPSIS
1508713,200902,1201-1800,PVD.Airport,RI,Cessna 310R,Private Individual,Landing,368,"While in landing into PVD, the crew of a Cessna 310R, tail number N99UG, experienced a wake turbulence encounter. The aircraft was operated by Private Individual and was at 368 ft AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb.",Cessna 310R reported a wake turbulence encounter during landing near PVD.
1508773,201512,1801-2400,BDL.Airport,CT,Diamond DA42,ATP Flight School,Climb,2581m,"While in climb into BDL, the crew of a Diamond DA42, tail number N30ZJ, experienced a loss of separation. The aircraft was operated by ATP Flight School and was at 2581m AGL when the event began. The flight continued to the destination and landed uneventfully.",Diamond DA42 reported a loss of separation during climb near BDL.
1508800,201603,1201-1800,SYR.Airport,NY,Airbus A320,FedEx Express,Descent,13124,"While in descent out of SYR, the crew of a Airbus A320, tail number N513SR, experienced a loss of separation. The aircraft was operated by FedEx Express and was at 13124 ft AGL when the event began. The aircraft landed without further incident.",Airbus A320 reported a loss of separation during descent near SYR.
1508847,201006,0001-0600,IAH.Airport,TX,Small Aircraft,Corporate,Initial Climb,6172,"During initial climb near IAH, we experienced a TCAS resolution advisory. A flight attendant reported an unusual odor in the aft cabin.",Small Aircraft flight crew reported a TCAS resolution advisory near IAH.
1508913,199012,0001-0600,PBI.Airport,FL,Medium Large Transport,Corporate,Climb,4581,"During climb near PBI, we experienced a pitot static anomaly. ATC issued a traffic alert and the crew initiated an immediate climb.",Medium Large Transport flight crew reported a pitot static anomaly near PBI.
1508925,201608,1201-1800,MSN.Airport,WI,Beechcraft B200,Ameriflite,Taxi,,"While in taxi out of MSN, the crew of a Beechcraft B200, tail number N386FP, experienced an altitude deviation. The aircraft was operated by Ameriflite and was at low altitude when the event began.",Beechcraft B200 reported an altitude deviation during taxi near MSN.
1508990,202110,1801-2400,IAD.Airport,VA,Beechcraft 1900D,Ameriflight,Cruise,3078,"While in cruise into IAD, the crew of a Beechcraft 1900D, tail number N296BC, experienced a fuel imbalance. The aircraft was operated by Ameriflight and was at 3078 ft AGL when the event began. Weather at the field was marginal VFR with gusting crosswinds. The aircraft landed without further incident.",Beechcraft 1900D reported a fuel imbalance during cruise near IAD.
1509080,201008,1801-2400,IAD.Airport,VA,Piper PA-28-161,Private Individual,Taxi,222,"While in taxi into IAD, the crew of a Piper PA-28-161, tail number N381HT, experienced an airspace incursion. The aircraft was operated by Private Individual and was at 222 ft AGL when the event began. The flight continued to the destination and landed uneventfully.",Piper PA-28-161 reported an airspace incursion during taxi near IAD.
1509109,200002,0001-0600,HOU.Airport,TX,Light Transport,Fractional,Descent,5264,"During descent near HOU, we experienced a loss of separation. ATC issued a traffic alert and the crew initiated an immediate climb.",Light Transport flight crew reported a loss of separation near HOU.
1509152,202312,0601-1200,PBI.Airport,FL,Medium Large Transport,Personal,Descent,2692m,"During descent near PBI, we experienced a pitot static anomaly. Weather at the field was marginal VFR with gusting crosswinds.",Medium Large Transport flight crew reported a pitot static anomaly near PBI.
1509190,200112,0001-0600,CVG.Airport,KY,Piper PA-28-181,Private Individual,Taxi,744,"While in taxi out of CVG, the crew of a Piper PA-28-181, tail number N7076Q, experienced a loss of separation. The aircraft was operated by Private Individual and was at 744 ft AGL when the event began.",Piper PA-28-181 reported a loss of separation during taxi near CVG.
1509278,201506,0001-0600,MEM.Airport,TN,Cessna 172,Private Individual,Initial Climb,1243,"While in initial climb into MEM, the crew of a Cessna 172, tail number N35466, experienced smoke in the cockpit. The aircraft was operated by Private Individual and was at 1243 ft AGL when the event began. The flight continued to the destination and landed uneventfully.",Cessna 172 reported smoke in the cockpit during initial climb near MEM.
1509319,202205,1201-1800,SMF.Airport,CA,Piper PA-31-350,Private Individual,Initial Approach,3425,"While in initial approach out of SMF, the crew of a Piper PA-31-350, tail number N896ED, experienced a near midair collision. The aircraft was operated by Private Individual and was at 3425 ft AGL when the event began. The crew reviewed the chart and identified the published restriction.",Piper PA-31-350 reported a near midair collision during initial approach near SMF.
1509387,199511,1201-1800,CMH.Airport,OH,Light Transport,Personal,Landing,28,"During landing near CMH, we experienced a flap asymmetry indication. The controller advised of opposite direction traffic at the same altitude.",Light Transport flight crew reported a flap asymmetry indication near CMH.
1509419,199711,0001-0600,SEA.Airport,WA,Light Transport,Corporate,Initial Approach,7912,"During initial approach near SEA, we experienced a TCAS resolution advisory. The controller advised of opposite direction traffic at the same altitude. The crew returned to the departure airport as a precaution.",Light Transport flight crew reported a TCAS resolution advisory near SEA.
1509497,202502,0001-0600,MEM.Airport,TN,Piper PA-28-181,Private Individual,Descent,16870,"While in descent into MEM, the crew of a Piper PA-28-181, tail number N50494, experienced a TCAS resolution advisory. The aircraft was operated by Private Individual and was at 16870 ft AGL when the event began.",Piper PA-28-181 reported a TCAS resolution advisory during descent near MEM.
1509559,201901,1801-2400,PDX.Airport,OR,Robinson R22 BETA,Blueridge Helicopters,Cruise,3032,"While in cruise out of PDX, the crew of a Robinson R22 BETA, tail number N408GE, experienced a pitot static anomaly. The aircraft was operated by Blueridge Helicopters and was at 3032 ft AGL when the event began. A flight attendant reported an unusual odor in the aft cabin.",Robinson R22 BETA reported a pitot static anomaly during cruise near PDX.
1509631,201210,0601-1200,JAN.Airport,MS,Bell 212,Blue Ridge Helicopters,Taxi,2109m,"While in taxi out of JAN, the crew of a Bell 212, tail number N134GZ, experienced a partial loss of engine power. The aircraft was operated by Blue Ridge Helicopters and was at 2109m AGL when the event began. The autopilot was disengaged and the aircraft was hand flown. The crew returned to the departure airport as a precaution.",Bell 212 reported a partial loss of engine power during taxi near JAN.
1509706,199907,1801-2400,OAK.Airport,CA,Medium Large Transport,Personal,Takeoff,188,"During takeoff near OAK, we experienced a TCAS resolution advisory. ATC issued a traffic alert and the crew initiated an immediate climb. The crew returned to the departure airport as a precaution.",Medium Large Transport flight crew reported a TCAS resolution advisory near OAK.
1509765,202403,0001-0600,BUR.Airport,CA,Medium Large Transport,Air Carrier,Climb,8091,"During climb near BUR, we experienced a flap asymmetry indication. Weather at the field was marginal VFR with gusting crosswinds.",Medium Large Transport flight crew reported a flap asymmetry indication near BUR.
1509835,201805,1201-1800,LIT.Airport,AR,Diamond DA40,Private Individual,Climb,5085,"While in climb into LIT, the crew of a Diamond DA40, tail number N361AY, experienced smoke in the cockpit. The aircraft was operated by Private Individual and was at 5085 ft AGL when the event began.",Diamond DA40 reported smoke in the cockpit during climb near LIT.
1509866,200110,1801-2400,SEA.Airport,WA,Cirrus SR22T,Embry Riddle University,Climb,7947,"While in climb into SEA, the crew of a Cirrus SR22T, tail number N2161E, experienced an unstabilized approach. The aircraft was operated by Embry Riddle University and was at 7947 ft AGL when the event began.",Cirrus SR22T reported an unstabilized approach during climb near SEA.
1509896,199711,1801-2400,MSN.Airport,WI,Piper PA-28 (UP TO 180 HP),Pinnacle Energy Partners,Takeoff,65,"While in takeoff out of MSN, the crew of a Piper PA-28 (UP TO 180 HP), tail number N595ZS, experienced a near midair collision. The aircraft was operated by Pinnacle Energy Partners and was at 65 ft AGL when the event began. The aircraft diverted and maintenance inspected the system.",Piper PA-28 (UP TO 180 HP) reported a near midair collision during takeoff near MSN.
1509965,200303,1201-1800,MSP.Airport,MN,Light Transport,Fractional,Cruise,9035,"During cruise near MSP, we experienced a near midair collision. The controller advised of opposite direction traffic at the same altitude.",Light Transport flight crew reported a near midair collision near MSP.
1510009,202101,1801-2400,RIC.Airport,VA,Medium Large Transport,Fractional,Taxi,577,"During taxi near RIC, we experienced an altitude deviation. The first officer noticed the discrepancy during the checklist flow.",Medium Large Transport flight crew reported an altitude deviation near RIC.
1510100,202105,0601-1200,TUL.Airport,OK,Bell 407,Gulf Coast Aerial Survey,Descent,3215m,"While in descent into TUL, the crew of a Bell 407, tail number N56184, experienced smoke in the cockpit. The aircraft was operated by Gulf Coast Aerial Survey and was at 3215m AGL when the event began. Weather at the field was marginal VFR with gusting crosswinds.",Bell 407 reported smoke in the cockpit during descent near TUL.
1510139,202201,1201-1800,PHL.Airport,PA,Airbus A320-214,FedEx Express,Cruise,6675,"While in cruise out of PHL, the crew of a Airbus A320-214, tail number N724HW, experienced a loss of separation. The aircraft was operated by FedEx Express and was at 6675 ft AGL when the event began. The crew returned to the departure airport as a precaution.",Airbus A320-214 reported a loss of separation during cruise near PHL.
1510152,201709,1201-1800,RSW.Airport,FL,Cirrus SR20,Private Individual,Cruise,3897,"While in cruise into RSW, the crew of a Cirrus SR20, tail number N1359F, experienced an airspace incursion. The aircraft was operated by Private Individual and was at 3897 ft AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb. The crew returned to the departure airport as a precaution.",Cirrus SR20 reported an airspace incursion during cruise near RSW.
1510189,199409,0001-0600,EWR.Airport,NJ,Light Transport,Corporate,Landing,753,"During landing near EWR, we experienced a TCAS resolution advisory. The crew reviewed the chart and identified the published restriction.",Light Transport flight crew reported a TCAS resolution advisory near EWR.
1510234,201409,1801-2400,OKC.Airport,OK,Medium Large Transport,Fractional,Taxi,,"During taxi near OKC, we experienced a near midair collision. The crew reviewed the chart and identified the published restriction.",Medium Large Transport flight crew reported a near midair collision near OKC.
1510274,200403,0601-1200,SAV.Airport,GA,Bell 407,State of Alaska,Climb,8380,"While in climb into SAV, the crew of a Bell 407, tail number N126TV, experienced smoke in the cockpit. The aircraft was operated by State of Alaska and was at 8380 ft AGL when the event began. The aircraft diverted and maintenance inspected the system.",Bell 407 reported smoke in the cockpit during climb near SAV.
1510358,201803,0601-1200,AUS.Airport,TX,Cessna 208 CARAVAN,Embry Riddle University,Final Approach,3424,"While in final approach out of AUS, the crew of a Cessna 208 CARAVAN, tail number N90ZN, experienced an altitude deviation. The aircraft was operated by Embry Riddle University and was at 3424 ft AGL when the event began.",Cessna 208 CARAVAN reported an altitude deviation during final approach near AUS.
1510374,202111,1801-2400,BNA.Airport,TN,Piper PA-46-500TP,Republic Airways Inc,Final Approach,1604,"While in final approach out of BNA, the crew of a Piper PA-46-500TP, tail number N913NF, experienced a fuel imbalance. The aircraft was operated by Republic Airways Inc and was at 1604 ft AGL when the event began. The controller advised of opposite direction traffic at the same altitude.",Piper PA-46-500TP reported a fuel imbalance during final approach near BNA.
1510417,200203,0601-1200,FSD.Airport,SD,Small Aircraft,Air Carrier,Initial Climb,791m,"During initial climb near FSD, we experienced smoke in the cockpit. ATC issued a traffic alert and the crew initiated an immediate climb. The crew returned to the departure airport as a precaution.",Small Aircraft flight crew reported smoke in the cockpit near FSD.
1510484,202411,0001-0600,CVG.Airport,KY,Light Transport,Air Carrier,Initial Approach,5976,"During initial approach near CVG, we experienced a partial loss of engine power. The first officer noticed the discrepancy during the checklist flow.",Light Transport flight crew reported a partial loss of engine power near CVG.
1510562,199601,0601-1200,IND.Airport,IN,Boeing 727,UPS Airlines,Taxi,308,"While in taxi into IND, the crew of a Boeing 727, tail number N763QU, experienced a runway incursion. The aircraft was operated by UPS Airlines and was at 308 ft AGL when the event began. The controller advised of opposite direction traffic at the same altitude.",Boeing 727 reported a runway incursion during taxi near IND.
1510635,199702,0601-1200,BWI.Airport,MD,Beechcraft A36,High Plains Crop Dusting,Initial Approach,3253,"While in initial approach into BWI, the crew of a Beechcraft A36, tail number N61121, experienced a partial loss of engine power. The aircraft was operated by High Plains Crop Dusting and was at 3253 ft AGL when the event began. The first officer noticed the discrepancy during the checklist flow.",Beechcraft A36 reported a partial loss of engine power during initial approach near BWI.
1510682,202209,1801-2400,LAX.Airport,CA,Cessna CITATION CJ4,Meridian Air Charter,Final Approach,4331,"While in final approach out of LAX, the crew of a Cessna CITATION CJ4, tail number N7672K, experienced smoke in the cockpit. The aircraft was operated by Meridian Air Charter and was at 4331 ft AGL when the event began. The crew reviewed the chart and identified the published restriction.",Cessna CITATION CJ4 reported smoke in the cockpit during final approach near LAX.
1510709,201011,1201-1800,MEM.Airport,TN,Medium Large Transport,Personal,Landing,112,"During landing near MEM, we experienced a pitot static anomaly. A flight attendant reported an unusual odor in the aft cabin. The flight continued to the destination and landed uneventfully.",Medium Large Transport flight crew reported a pitot static anomaly near MEM.
1510770,202210,1801-2400,ICT.Airport,KS,Light Transport,Fractional,Landing,293,"During landing near ICT, we experienced an airspace incursion. The autopilot was disengaged and the aircraft was hand flown. The aircraft diverted and maintenance inspected the system.",Light Transport flight crew reported an airspace incursion near ICT.
1510793,202501,1801-2400,GRR.Airport,MI,Robinson R44 II,US Department of the Interior,Final Approach,3093,"While in final approach into GRR, the crew of a Robinson R44 II, tail number N53753, experienced a fuel imbalance. The aircraft was operated by US Department of the Interior and was at 3093 ft AGL when the event began. The flight continued to the destination and landed uneventfully.",Robinson R44 II reported a fuel imbalance during final approach near GRR.
1510806,200010,1801-2400,RDU.Airport,NC,Robinson R44 II,Blue Ridge Helicopters,Descent,308m,"While in descent into RDU, the crew of a Robinson R44 II, tail number N45212, experienced smoke in the cockpit. The aircraft was operated by Blue Ridge Helicopters and was at 308m AGL when the event began. The aircraft diverted and maintenance inspected the system.",Robinson R44 II reported smoke in the cockpit during descent near RDU.
1510886,202505,0001-0600,BWI.Airport,MD,Cessna CITATION EXCEL,Wells Fargo Trust Co Trustee,Taxi,160,"While in taxi into BWI, the crew of a Cessna CITATION EXCEL, tail number N9715U, experienced a flap asymmetry indication. The aircraft was operated by Wells Fargo Trust Co Trustee and was at 160 ft AGL when the event began. Company maintenance was contacted and a logbook entry was made. The aircraft diverted and maintenance inspected the system.",Cessna CITATION EXCEL reported a flap asymmetry indication during taxi near BWI.
1510923,199803,0601-1200,DAB.Airport,FL,Medium Large Transport,Air Carrier,Initial Approach,1426,"During initial approach near DAB, we experienced a flap asymmetry indication. The autopilot was disengaged and the aircraft was hand flown. The flight continued to the destination and landed uneventfully.",Medium Large Transport flight crew reported a flap asymmetry indication near DAB.
1510994,200108,1801-2400,SDF.Airport,KY,Small Aircraft,Personal,Descent,17313,"During descent near SDF, we experienced an unstabilized approach. Company maintenance was contacted and a logbook entry was made.",Small Aircraft flight crew reported an unstabilized approach near SDF.
1511025,201711,1801-2400,OAK.Airport,CA,Cessna 421C,Private Individual,Climb,5254,"While in climb out of OAK, the crew of a Cessna 421C, tail number N8047Y, experienced a loss of separation. The aircraft was operated by Private Individual and was at 5254 ft AGL when the event began.",Cessna 421C reported a loss of separation during climb near OAK.
1511045,201406,1801-2400,ATL.Airport,GA,Beechcraft 58,Private Individual,Final Approach,6921,"While in final approach out of ATL, the crew of a Beechcraft 58, tail number N396AL, experienced smoke in the cockpit. The aircraft was operated by Private Individual and was at 6921 ft AGL when the event began. Company maintenance was contacted and a logbook entry was made. The aircraft landed without further incident.",Beechcraft 58 reported smoke in the cockpit during final approach near ATL.
1511071,201410,0001-0600,MCO.Airport,FL,Piper PA-28 (ABOVE 200 HP),Private Individual,Taxi,169,"While in taxi out of MCO, the crew of a Piper PA-28 (ABOVE 200 HP), tail number N4085B, experienced a TCAS resolution advisory. The aircraft was operated by Private Individual and was at 169 ft AGL when the event began. Weather at the field was marginal VFR with gusting crosswinds. The flight continued to the destination and landed uneventfully.",Piper PA-28 (ABOVE 200 HP) reported a TCAS resolution advisory during taxi near MCO.
1511151,201202,0001-0600,OMA.Airport,NE,Medium Large Transport,Air Carrier,Landing,577,"During landing near OMA, we experienced an altitude deviation. Weather at the field was marginal VFR with gusting crosswinds.",Medium Large Transport flight crew reported an altitude deviation near OMA.
1511184,199309,0001-0600,COS.Airport,CO,Medium Large Transport,Air Carrier,Final Approach,1189m,"During final approach near COS, we experienced an unstabilized approach. The crew reviewed the chart and identified the published restriction. The aircraft landed without further incident.",Medium Large Transport flight crew reported an unstabilized approach near COS.
1511217,200612,1201-1800,CRW.Airport,WV,Cessna 172S,Private Individual,Initial Approach,2173,"While in initial approach into CRW, the crew of a Cessna 172S, tail number N57QA, experienced a fuel imbalance. The aircraft was operated by Private Individual and was at 2173 ft AGL when the event began. A flight attendant reported an unusual odor in the aft cabin. The crew returned to the departure airport as a precaution.",Cessna 172S reported a fuel imbalance during initial approach near CRW.
1511257,202211,1201-1800,DAB.Airport,FL,Piper PA-46-500TP,ATP Flight School,Taxi,188,"While in taxi into DAB, the crew of a Piper PA-46-500TP, tail number N143ZF, experienced smoke in the cockpit. The aircraft was operated by ATP Flight School and was at 188 ft AGL when the event began. The flight continued to the destination and landed uneventfully.",Piper PA-46-500TP reported smoke in the cockpit during taxi near DAB.
1511284,199112,1801-2400,FAR.Airport,ND,Piper PA-34-220T,Private Individual,Cruise,6050,"While in cruise into FAR, the crew of a Piper PA-34-220T, tail number N806FL, experienced an altitude deviation. The aircraft was operated by Private Individual and was at 6050 ft AGL when the event began. The first officer noticed the discrepancy during the checklist flow. The aircraft diverted and maintenance inspected the system.",Piper PA-34-220T reported an altitude deviation during cruise near FAR.
1511379,200810,1801-2400,MDW.Airport,IL,Light Transport,Air Carrier,Landing,,"During landing near MDW, we experienced smoke in the cockpit. The autopilot was disengaged and the aircraft was hand flown.",Light Transport flight crew reported smoke in the cockpit near MDW.
1511411,201610,1801-2400,TUS.Airport,AZ,Medium Large Transport,Corporate,Descent,3822,"During descent near TUS, we experienced a fuel imbalance. The controller advised of opposite direction traffic at the same altitude. The flight continued to the destination and landed uneventfully.",Medium Large Transport flight crew reported a fuel imbalance near TUS.
1511475,202401,1201-1800,ORD.Airport,IL,Boeing 717,SkyWest Airlines,Initial Climb,5465,"While in initial climb out of ORD, the crew of a Boeing 717, tail number N10TG, experienced a flap asymmetry indication. The aircraft was operated by SkyWest Airlines and was at 5465 ft AGL when the event began. The first officer noticed the discrepancy during the checklist flow.",Boeing 717 reported a flap asymmetry indication during initial climb near ORD.
1511494,199311,0001-0600,OKC.Airport,OK,Bombardier 415,Ameriflite,Descent,13183,"While in descent out of OKC, the crew of a Bombardier 415, tail number N944VR, experienced a flap asymmetry indication. The aircraft was operated by Ameriflite and was at 13183 ft AGL when the event began. The crew reviewed the chart and identified the published restriction. The crew returned to the departure airport as a precaution.",Bombardier 415 reported a flap asymmetry indication during descent near OKC.
1511552,201403,0601-1200,GRR.Airport,MI,Piper PA-28-181,Private Individual,Descent,3387m,"While in descent out of GRR, the crew of a Piper PA-28-181, tail number N29QT, experienced a pitot static anomaly. The aircraft was operated by Private Individual and was at 3387m AGL when the event began.",Piper PA-28-181 reported a pitot static anomaly during descent near GRR.
1511595,199206,1801-2400,BUF.Airport,NY,Light Transport,Fractional,Takeoff,472,"During takeoff near BUF, we experienced an unstabilized approach. The controller advised of opposite direction traffic at the same altitude. The crew returned to the departure airport as a precaution.",Light Transport flight crew reported an unstabilized approach near BUF.
1511690,202109,0601-1200,IAH.Airport,TX,Small Aircraft,Corporate,Takeoff,131,"During takeoff near IAH, we experienced a runway incursion. The first officer noticed the discrepancy during the checklist flow.",Small Aircraft flight crew reported a runway incursion near IAH.
1511761,200609,1801-2400,FLL.Airport,FL,Cessna 208 CARAVAN,Textron Aviation,Descent,14099,"While in descent out of FLL, the crew of a Cessna 208 CARAVAN, tail number N148CJ, experienced an airspace incursion. The aircraft was operated by Textron Aviation and was at 14099 ft AGL when the event began. The aircraft landed without further incident.",Cessna 208 CARAVAN reported an airspace incursion during descent near FLL.
1511845,202304,1801-2400,CHS.Airport,SC,Boeing 767-332,Americian Airlines,Initial Approach,4618,"While in initial approach out of CHS, the crew of a Boeing 767-332, tail number N119CQ, experienced an airspace incursion. The aircraft was operated by Americian Airlines and was at 4618 ft AGL when the event began. The aircraft diverted and maintenance inspected the system.",Boeing 767-332 reported an airspace incursion during initial approach near CHS.
1511941,201305,1801-2400,DAL.Airport,TX,Diamond DA40,ATP Flight School,Takeoff,454,"While in takeoff out of DAL, the crew of a Diamond DA40, tail number N41795, experienced an unstabilized approach. The aircraft was operated by ATP Flight School and was at 454 ft AGL when the event began. ATC issued a traffic alert and the crew initiated an immediate climb. The flight continued to the destination and landed uneventfully.",Diamond DA40 reported an unstabilized approach during takeoff near DAL.
1512013,201711,0601-1200,HNL.Airport,HI,Medium Large Transport,Air Carrier,Takeoff,623,"During takeoff near HNL, we experienced a flap asymmetry indication. The controller advised of opposite direction traffic at the same altitude. The flight continued to the destination and landed uneventfully.",Medium Large Transport flight crew reported a flap asymmetry indication near HNL.
1512103,202206,1201-1800,BWI.Airport,MD,Medium Large Transport,Air Carrier,Landing,399,"During landing near BWI, we experienced a loss of separation. The autopilot was disengaged and the aircraft was hand flown. The crew returned to the departure airport as a precaution.",Medium Large Transport flight crew reported a loss of separation near BWI.
1512152,199102,1201-1800,SJC.Airport,CA,Bombardier CS100,Pinnacle Energy Partners,Climb,2737m,"While in climb out of SJC, the crew of a Bombardier CS100, tail number N600WW, experienced a near midair collision. The aircraft was operated by Pinnacle Energy Partners and was at 2737m AGL when the event began. The crew reviewed the chart and identified the published restriction.",Bombardier CS100 reported a near midair collision during climb near SJC.
1512234,200411,0001-0600,SAN.Airport,CA,Piper PA-28 (UP TO 180 HP),Private Individual,Descent,12349,"While in descent into SAN, the crew of a Piper PA-28 (UP TO 180 HP), tail number N227DJ, experienced a runway incursion. The aircraft was operated by Private Individual and was at 12349 ft AGL when the event began. The crew reviewed the chart and identified the published restriction.",Piper PA-28 (UP TO 180 HP) reported a runway incursion during descent near SAN.
1512262,202409,1801-2400,PWM.Airport,ME,Bombardier CHALLENGER,Meridian Air Charter,Cruise,8841,"While in cruise out of PWM, the crew of a Bombardier CHALLENGER, tail number N95302, experienced a near midair collision. The aircraft was operated by Meridian Air Charter and was at 8841 ft AGL when the event began.",Bombardier CHALLENGER reported a near midair collision during cruise near PWM.
1512297,200808,1801-2400,ROC.Airport,NY,Light Transport,Personal,Cruise,11852,"During cruise near ROC, we experienced a flap asymmetry indication. Company maintenance was contacted and a logbook entry was made. The aircraft landed without further incident.",Light Transport flight crew reported a flap asymmetry indication near ROC.
1512308,201908,0001-0600,FAR.Airport,ND,Medium Large Transport,Air Carrier,Cruise,8526,"During cruise near FAR, we experienced a pitot static anomaly. The controller advised of opposite direction traffic at the same altitude. The flight continued to the destination and landed uneventfully.",Medium Large Transport flight crew reported a pitot static anomaly near FAR.
1512375,202310,1201-1800,BNA.Airport,TN,Beechcraft V35B,Gulf Coast Areal Survey,Takeoff,554,"While in takeoff out of BNA, the crew of a Beechcraft V35B, tail number N78SV, experienced a pitot static anomaly. The aircraft was operated by Gulf Coast Areal Survey and was at 554 ft AGL when the event began. The first officer noticed the discrepancy during the checklist flow.",Beechcraft V35B reported a pitot static anomaly during takeoff near BNA.
1512443,200710,1201-1800,BUR.Airport,CA,Piper PA-28-181,Gulf Coast Aerial Survey,Climb,7411,"While in climb out of BUR, the crew of a Piper PA-28-181, tail number N9060C, experienced an unstabilized approach. The aircraft was operated by Gulf Coast Aerial Survey and was at 7411 ft AGL when the event began. The crew reviewed the chart and identified the published restriction.",Piper PA-28-181 reported an unstabilized approach during climb near BUR.
1512478,201606,0001-0600,RDU.Airport,NC,Robinson R22 BETA,US Department of the Interior,Landing,551,"While in landing out of RDU, the crew of a Robinson R22 BETA, tail number N75RZ, experienced smoke in the cockpit. The aircraft was operated by US Department of the Interior and was at 551 ft AGL when the event began.",Robinson R22 BETA reported smoke in the cockpit during landing near RDU.
1512568,200802,1801-2400,ICT.Airport,KS,Medium Large Transport,Fractional,Descent,619m,"During descent near ICT, we experienced a near midair collision. Company maintenance was contacted and a logbook entry was made.",Medium Large Transport flight crew reported a near midair collision near ICT.
1512603,199802,1801-2400,BOS.Airport,MA,Medium Large Transport,Personal,Landing,655,"During landing near BOS, we experienced a partial loss of engine power. Company maintenance was contacted and a logbook entry was made. The crew returned to the departure airport as a precaution.",Medium Large Transport flight crew reported a partial loss of engine power near BOS.
1512673,201811,0601-1200,BDL.Airport,CT,Piper PA-31-350,Private Individual,Taxi,788,"While in taxi out of BDL, the crew of a Piper PA-31-350, tail number N9209P, experienced a pitot static anomaly. The aircraft was operated by Private Individual and was at 788 ft AGL when the event began.",Piper PA-31-350 reported a pitot static anomaly during taxi near BDL.
1512723,202311,1201-1800,JFK.Airport,NY,Mooney M20K,Private Individual,Final Approach,5146,"While in final approach into JFK, the crew of a Mooney M20K, tail number N9464H, experienced an airspace incursion. The aircraft was operated by Private Individual and was at 5146 ft AGL when the event began.",Mooney M20K reported an airspace incursion during final approach near JFK.
1512773,200908,1201-1800,TEB.Airport,NJ,Boeing 727-200,Republic Airways Inc,Initial Approach,,"While in initial approach into TEB, the crew of a Boeing 727-200, tail number N741WD, experienced a gear indication anomaly. The aircraft was operated by Republic Airways Inc and was at low altitude when the event began. ATC issued a traffic alert and the crew initiated an immediate climb.",Boeing 727-200 reported a gear indication anomaly during initial approach near TEB.
1512833,199704,0001-0600,LAX.Airport,CA,Light Transport,Personal,Final Approach,1831,"During final approach near LAX, we experienced smoke in the cockpit. Weather at the field was marginal VFR with gusting crosswinds. The flight continued to the destination and landed uneventfully.",Light Transport flight crew reported smoke in the cockpit near LAX.
1512849,201501,1801-2400,IAH.Airport,TX,Light Transport,Fractional,Descent,9521,"During descent near IAH, we experienced a TCAS resolution advisory. Company maintenance was contacted and a logbook entry was made.",Light Transport flight crew reported a TCAS resolution advisory near IAH.
1512865,202203,1201-1800,SAN.Airport,CA,Cessna 172,Private Individual,Descent,12242,"While in descent into SAN, the crew of a Cessna 172, tail number N58111, experienced an airspace incursion. The aircraft was operated by Private Individual and was at 12242 ft AGL when the event began. The crew returned to the departure airport as a precaution.",Cessna 172 reported an airspace incursion during descent near SAN.
1512944,201302,0601-1200,OMA.Airport,NE,Piper PA-28 (ABOVE 200 HP),Private Individual,Cruise,3272m,"While in cruise into OMA, the crew of a Piper PA-28 (ABOVE 200 HP), tail number N250JG, experienced an airspace incursion. The aircraft was operated by Private Individual and was at 3272m AGL when the event began. The first officer noticed the discrepancy during the checklist flow. The flight continued to the destination and landed uneventfully.",Piper PA-28 (ABOVE 200 HP) reported an airspace incursion during cruise near OMA.
1513000,201309,1801-2400,IAH.Airport,TX,Cessna CITATION CJ4,Meridian Air Charter,Climb,8719,"While in climb into IAH, the crew of a Cessna CITATION CJ4, tail number N97573, experienced an airspace incursion. The aircraft was operated by Meridian Air Charter and was at 8719 ft AGL when the event began.",Cessna CITATION CJ4 reported an airspace incursion during climb near IAH.
1513066,200406,0001-0600,DEN.Airport,CO,Small Aircraft,Air Carrier,Descent,11191,"During descent near DEN, we experienced a fuel imbalance. ATC issued a traffic alert and the crew initiated an immediate climb.",Small Aircraft flight crew reported a fuel imbalance near DEN.
1513096,201402,1801-2400,BOS.Airport,MA,Light Transport,Corporate,Takeoff,40,"During takeoff near BOS, we experienced an altitude deviation. A flight attendant reported an unusual odor in the aft cabin. The aircraft landed without further incident.",Light Transport flight crew reported an altitude deviation near BOS.
1513178,201210,0001-0600,SYR.Airport,NY,Rockwell COMMANDER 690B,Meridian Air Charters,Taxi,415,"While in taxi out of SYR, the crew of a Rockwell COMMANDER 690B, tail number N34420, experienced an airspace incursion. The aircraft was operated by Meridian Air Charters and was at 415 ft AGL when the event began.",Rockwell COMMANDER 690B reported an airspace incursion during taxi near SYR.
1513239,202401,0601-1200,SMF.Airport,CA,Cirrus SR22T,Wells Fargo Trust Co Trustee,Landing,796,"While in landing into SMF, the crew of a Cirrus SR22T, tail number N290SU, experienced a gear indication anomaly. The aircraft was operated by Wells Fargo Trust Co Trustee and was at 796 ft AGL when the event began. Company maintenance was contacted and a logbook entry was made.",Cirrus SR22T reported a gear indication anomaly during landing near SMF.
